iter	Logloss
0	0.5599955578
1	0.453507357
2	0.3864525848
3	0.3377026895
4	0.2992948099
5	0.2797044443
6	0.2453210706
7	0.2214203371
8	0.2045225452
9	0.2002486258
10	0.1920174114
11	0.1872434271
12	0.1834831174
13	0.1771674695
14	0.1717185923
15	0.1700843883
16	0.165505005
17	0.1628997275
18	0.1621244429
19	0.160060162
20	0.1594048415
21	0.1578234929
22	0.1574094978
23	0.1556937507
24	0.1541902518
25	0.1537611002
26	0.1528242771
27	0.1527677268
28	0.1520653558
29	0.15170398
30	0.1512168867
31	0.1511000395
32	0.1506649297
33	0.1501478211
34	0.1500977229
35	0.1498981987
36	0.1497857618
37	0.1497513907
38	0.1492459717
39	0.1492245385
40	0.1490554992
41	0.1488089933
42	0.1486400806
43	0.1484701175
44	0.1484192045
45	0.148327805
46	0.1481011038
47	0.1479797699
48	0.1476668272
49	0.147378928
50	0.1473261717
51	0.1469550179
52	0.1468478665
53	0.1466919083
54	0.1463042363
55	0.1462714429
56	0.1460049939
57	0.1457464576
58	0.1456074953
59	0.1454477255
60	0.1453339426
61	0.1452792755
62	0.1451875793
63	0.1451649533
64	0.1450161535
65	0.1449372378
66	0.1447732438
67	0.1444729062
68	0.1443753631
69	0.1442315443
70	0.1440192517
71	0.1440012207
72	0.1439848217
73	0.1438439582
74	0.1434864996
75	0.143279247
76	0.1432445654
77	0.1431968108
78	0.1429042428
79	0.1428285211
80	0.1427167775
81	0.1426670588
82	0.1424609879
83	0.1423710066
84	0.1422771679
85	0.1420970083
86	0.1419617231
87	0.1418607147
88	0.1418122045
89	0.1417451754
90	0.141510852
91	0.1412798383
92	0.140877825
93	0.1407229934
94	0.1406323831
95	0.1405515548
96	0.1403529852
97	0.1401082932
98	0.1399054716
99	0.1398733052
100	0.1398421384
101	0.1397875605
102	0.1396915763
103	0.1396057762
104	0.1394694184
105	0.139421104
106	0.1391156677
107	0.1385571474
108	0.1385244384
109	0.1382906083
110	0.1382598689
111	0.1380007628
112	0.1378600721
113	0.1378109547
114	0.1377107291
115	0.1376990834
116	0.1376833188
117	0.13762425
118	0.1370890795
119	0.1370056949
120	0.1367390124
121	0.1367165505
122	0.1366106119
123	0.1362730158
124	0.1359939827
125	0.1355794993
126	0.1355696477
127	0.1355360353
128	0.1354434838
129	0.1352705208
130	0.1350656795
131	0.1349534486
132	0.134902643
133	0.1348509932
134	0.1343859853
135	0.1342517828
136	0.1342042631
137	0.1341779387
138	0.1340575704
139	0.1338700808
140	0.1336056647
141	0.1335989799
142	0.1334286191
143	0.1332546643
144	0.1329249447
145	0.1328353259
146	0.1325988805
147	0.1323803922
148	0.1323577648
149	0.132160694
